Year,Month,Day,Type,Mag
-175,5,21,Partial,0.348
-175,11,15,Partial,0.895
-174,11,4,Total,1.479
-173,4,30,Partial,0.613
-173,10,24,Partial,0.251
-171,9,2,Partial,0.936
-170,8,23,Total,1.52
-169,8,13,Partial,0.082
-168,12,26,Total,1.087
-167,6,21,Total,1.252
-167,12,16,Total,1.399
-166,6,10,Total,1.003
-166,12,5,Partial,0.026
-164,4,20,Partial,0.771
-163,4,10,Total,1.6
-163,10,3,Total,1.683
-162,3,30,Partial,0.118
-160,8,2,Total,1.031
-159,1,26,Total,1.44
-159,7,23,Total,1.242
-157,6,1,Partial,0.212
-157,11,26,Partial,0.884
-156,5,21,Total,1.672
-156,11,14,Total,1.492
-155,11,3,Partial,0.272
-153,3,21,Partial,0.843
-152,3,9,Total,1.453
-152,9,2,Total,1.595
-151,2,26,Partial,0.158
-149,7,2,Total,1.103
-149,12,27,Total,1.404
-146,10,25,Partial,0.632
-145,4,21,Total,1.724
-145,10,14,Total,1.712
-144,4,10,Partial,0.238
-144,10,3,Partial,0.488
-142,2,17,Partial,0.874
-141,2,7,Total,1.484
-140,1,27,Partial,0.255
-139,12,7,Partial,0.875
-138,6,1,Total,1.535
-138,11,26,Total,1.503
-137,5,22,Partial,0.877
-137,11,15,Partial,0.288
-135,3,31,Partial,0.723
-135,9,24,Partial,0.82
-134,3,20,Total,1.565
-133,3,10,Partial,0.251
-133,9,3,Partial,0.24
-131,1,17,Total,1.054
-130,7,2,Total,1.293
-130,12,27,Partial,0.028
-128,5,12,Partial,0.51
-128,11,4,Partial,0.62
-127,5,2,Total,1.855
-126,10,14,Partial,0.517
-124,2,28,Partial,0.811
-124,8,24,Partial,0.818
-123,2,17,Total,1.539
-123,8,13,Total,1.485
-122,2,7,Partial,0.295
-122,8,2,Partial,0.145
-121,12,18,Partial,0.866
-120,12,6,Total,1.512
-119,6,1,Total,1.013
-119,11,25,Partial,0.299
-117,10,5,Partial,0.779
-116,9,24,Total,1.705
-115,9,13,Partial,0.302
-113,1,29,Total,1.022
-113,7,24,Partial,0.828
-112,1,18,Total,1.434
-112,7,12,Total,1.427
-111,1,6,Partial,0.04
-110,5,23,Partial,0.369
-109,11,5,Total,1.743
-108,5,1,Partial,0.51
-106,9,4,Partial,0.73
-105,2,28,Total,1.607
-105,8,24,Total,1.587
-104,2,18,Partial,0.345
-104,8,12,Partial,0.263
-103,12,28,Partial,0.851
-102,12,17,Total,1.525
-101,12,6,Partial,0.311
-99,4,22,Partial,0.448
-98,4,11,Total,1.821
-98,10,5,Total,1.742
-97,3,31,Partial,0.471
-95,2,8,Partial,0.98
-95,8,3,Partial,0.706
-94,1,28,Total,1.463
-93,7,13,Partial,0.24
-92,11,26,Partial,0.618
-91,5,23,Total,1.571
-91,11,16,Total,1.75
-90,5,12,Partial,0.658
-90,11,5,Partial,0.548
-88,3,21,Partial,0.65
-87,3,11,Total,1.687
-86,2,28,Partial,0.41
-84,1,9,Partial,0.829
-84,7,3,Total,1.133
-84,12,28,Total,1.54
-83,12,17,Partial,0.321
-81,5,3,Partial,0.297
-81,10,27,Partial,0.728
-80,4,21,Total,1.69
-79,4,10,Partial,0.596
-79,10,5,Partial,0.387
-77,2,19,Partial,0.925
-77,8,15,Partial,0.598
-75,1,28,Partial,0.092
-75,7,24,Partial,0.36
-74,12,7,Partial,0.62
-73,6,3,Total,1.42
-73,11,27,Total,1.752
-72,11,16,Partial,0.554
-70,4,1,Partial,0.552
-70,9,26,Partial,0.593
-69,3,22,Total,1.777
-69,9,15,Total,1.752
-68,3,11,Partial,0.483
-68,9,3,Partial,0.458
-66,1,19,Partial,0.799
-66,7,15,Total,1.01
-65,1,8,Total,1.564
-65,7,4,Total,1.409
-65,12,28,Partial,0.337
-63,5,14,Partial,0.14
-63,11,6,Partial,0.715
-62,5,3,Total,1.541
-62,10,27,Total,1.786
-61,10,16,Partial,0.413
-59,3,2,Partial,0.858
-58,2,19,Total,1.561
-58,8,14,Total,1.771
-57,2,8,Partial,0.137
-55,12,7,Total,1.754
-54,6,3,Partial,0.969
-52,10,6,Partial,0.543
-51,4,1,Total,1.877
-51,9,25,Total,1.808
-50,3,22,Partial,0.571
-50,9,14,Partial,0.533
-48,1,30,Partial,0.758
-47,1,18,Total,1.595
-47,7,15,Total,1.532
-46,1,7,Partial,0.358
-46,7,4,Partial,0.06
-44,11,6,Total,1.796
-43,5,2,Partial,0.873
-41,3,13,Partial,0.777
-41,9,5,Partial,0.421
-40,3,2,Total,1.629
-40,8,25,Total,1.858
-39,8,14,Partial,0.57
-38,12,29,Partial,0.617
-37,6,25,Total,1.119
-37,12,19,Total,1.759
-36,6,13,Total,1.127
-36,12,7,Partial,0.558
-34,4,23,Partial,0.329
-33,4,13,Total,1.77
-32,4,1,Partial,0.667
-30,2,10,Partial,0.704
-30,8,5,Partial,0.788
-29,1,30,Total,1.64
-28,7,14,Partial,0.181
-27,11,28,Partial,0.702
-26,5,24,Total,1.234
-25,5,13,Total,1.02
-25,11,7,Partial,0.438
-23,3,23,Partial,0.684
-23,9,16,Partial,0.354
-21,3,2,Partial,0.268
-21,8,26,Partial,0.658
-19,1,9,Partial,0.608
-19,7,5,Partial,0.972
-19,12,29,Total,1.768
-18,6,24,Total,1.283
-18,12,19,Partial,0.563
-16,5,3,Partial,0.207
-16,10,28,Partial,0.478
-15,10,17,Total,1.718
-14,4,13,Partial,0.777
-14,10,6,Partial,0.643
-12,2,21,Partial,0.637
-12,8,16,Partial,0.691
-11,2,9,Total,1.695
-11,8,5,Total,1.754
-10,1,29,Partial,0.431
-9,12,10,Partial,0.699
-8,6,3,Total,1.078
-8,11,28,Total,1.801
-7,11,18,Partial,0.443
-5,4,4,Partial,0.58
-4,3,23,Total,1.808
-4,9,15,Total,1.716
-3,3,12,Partial,0.358
-1,1,20,Partial,0.589
0,1,9,Total,1.783
0,12,29,Partial,0.569
2,11,8,Partial,0.459
3,5,4,Total,1.528
3,10,28,Total,1.688
4,10,16,Partial,0.681
6,3,3,Partial,0.555
7,2,20,Total,1.766
7,8,17,Total,1.848
8,2,9,Partial,0.483
8,8,5,Partial,0.404
9,12,20,Partial,0.693
10,12,10,Total,1.801
11,11,29,Partial,0.444
13,10,7,Partial,0.261
14,4,3,Total,1.791
14,9,27,Total,1.665
15,9,16,Partial,0.795
17,1,30,Partial,0.562
18,7,16,Total,1.581
19,1,9,Partial,0.584
19,7,5,Partial,0.21
21,5,15,Total,1.397
22,5,4,Total,1.018
24,3,14,Partial,0.461
24,9,6,Partial,0.533
25,3,3,Total,1.787
26,8,16,Partial,0.5
27,12,31,Partial,0.683
28,12,20,Total,1.804
29,6,14,Total,1.467
29,12,9,Partial,0.445
31,4,25,Partial,0.339
31,10,19,Partial,0.235
32,10,7,Total,1.626
33,4,3,Partial,0.576
33,9,27,Partial,0.845
35,2,11,Partial,0.523
35,8,7,Partial,0.573
36,1,31,Total,1.842
36,7,26,Total,1.72
37,7,15,Partial,0.358
38,11,30,Partial,0.434
39,11,19,Total,1.655
40,5,15,Total,1.147
40,11,7,Partial,0.725
42,9,18,Partial,0.473
43,9,7,Total,1.73
44,3,2,Partial,0.626
46,7,6,Partial,0.629
46,12,31,Total,1.811
47,6,26,Total,1.61
47,12,21,Partial,0.447
48,6,14,Partial,0.278
